Borough,ParkorPlayground,Date,SportsPlayed,KIMorSSE,Attendance,Cancellation
Staten Island,DeMatti Park Fieldhouse,07/16/2022 10:00:00 AM,,K.I.M,130,
Queens,Helen Marshall Playground,09/03/2024 06:00:00 PM,,K.I.M,0,Called Out
Bronx,Willis Playground,07/26/2023 10:00:00 AM,,K.I.M,12,
Queens,Bowne Playground,07/19/2023 06:00:00 PM,,K.I.M,290,
Bronx,Flynn Playground,06/11/2022 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,Yellowstone Park,06/14/2023 06:00:00 PM,,K.I.M,70,
Manhattan,Langston Hughes Playground,07/12/2022 06:00:00 AM,,K.I.M,300,
Queens,Horace Harding Playground,06/03/2022 05:00:00 PM,Various Sports,S.S.E,85,
Queens,Astoria Heights Playground,06/24/2023 06:00:00 PM,,K.I.M,0,Called Out
Manhattan,Happy Warrior Playground,08/11/2022 06:00:00 PM,,K.I.M,0,Called Out
Bronx,Crotona Park,08/02/2023 10:00:00 AM,,K.I.M,33,
Queens,Park of the Americas,08/22/2024 06:00:00 PM,,K.I.M,0,Called Out
Manhattan,Happy Warrior Playground,05/04/2022 06:00:00 PM,,K.I.M,0,No Attendance
Queens,Bayswater Park,07/24/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,Carmansville Playground,09/29/2023 06:00:00 PM,,K.I.M,0,No Attendance
Queens,Park of the Americas,05/02/2023 06:00:00 PM,,K.I.M,0,Called Out
Manhattan,J. Hood Wright Park,09/04/2024 04:32:00 PM,,K.I.M,104,
Queens,Dutch Kills Playground,05/30/2023 06:00:00 PM,Various Sports,S.S.E,73,
Queens,Bayswater Park,07/11/2024 06:00:00 PM,,K.I.M,80,
Manhattan,Langston Hughes Playground,10/03/2023 06:00:00 PM,,K.I.M,0,Called Out
Staten Island,Fairview Park,07/30/2024 10:30:00 AM,Various Sports,S.S.E,41,
Staten Island,DeMatti Park Fieldhouse,08/02/2023 10:00:00 AM,,K.I.M,133,
Bronx,Flynn Playground,06/12/2024 11:26:00 AM,,K.I.M,45,
Brooklyn,Seth Low Playground/ Bealin Square,06/02/2022 10:00:00 AM,,K.I.M,78,
Staten Island,Arrochar Playground,09/06/2022 10:00:00 AM,,K.I.M,0,Bad Weather
Queens,Phil Scooter Rizzuto Park,06/10/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,Bloomingdale Playground,10/11/2023 06:00:00 PM,,K.I.M,340,
Manhattan,Columbus Park,07/06/2022 06:00:00 PM,,K.I.M,186,
Queens,Flushing Meadows Corona Park,06/29/2023 06:00:00 PM,,K.I.M,0,Detailed to Event
Manhattan,McKinley Playground,09/29/2022 06:17:00 PM,,K.I.M,230,
Bronx,Lozada Playground,06/14/2022 06:00:00 PM,,K.I.M,40,
Queens,London Planetree Playground,08/25/2023 06:00:00 PM,,K.I.M,15,
Manhattan,Samuel Seabury Playground,07/24/2024 09:41:00 AM,,K.I.M,100,
Brooklyn,St. John's Park,08/23/2022 10:00:00 AM,,K.I.M,27,
Manhattan,Sol Lain Plgd,10/11/2023 06:00:00 PM,,K.I.M,125,
Queens,Corona Golf Playground,06/09/2022 06:00:00 PM,,K.I.M,114,
Queens,Lawrence Virgililo Playground,05/01/2024 06:00:00 PM,,K.I.M,166,
Queens,Astoria Heights Playground,09/07/2024 06:00:00 PM,,K.I.M,295,
Manhattan,Happy Warrior Playground,04/28/2022 06:00:00 PM,,K.I.M,0,No Attendance
Staten Island,Austin J. McDonald Playground Fieldhouse,04/25/2023 10:00:00 AM,,K.I.M,97,
Queens,Corona Golf Playground,09/09/2022 03:37:00 PM,,K.I.M,0,No Attendance
Staten Island,Fairview Park,07/09/2024 10:30:00 AM,Various Sports,S.S.E,80,
Manhattan,Raoul Wallenberg Playground,08/03/2024 05:00:00 PM,,K.I.M,62,
Queens,Bayswater Park,07/18/2023 06:00:00 PM,,K.I.M,0,Called Out
Bronx,Hunts Point Playground,06/01/2022 06:00:00 PM,,K.I.M,100,
Staten Island,Rev. Dr. Maggie Howard Playground,08/14/2024 10:00:00 AM,,K.I.M,45,Bad Weather
Queens,Bayswater Park,08/24/2024 06:00:00 PM,,K.I.M,0,Detailed to Event
Queens,Astoria Park,06/03/2022 06:00:00 PM,,K.I.M,45,
Manhattan,Bloomingdale Playground,08/12/2022 06:00:00 PM,,K.I.M,173,
Manhattan,Tompkins Square Park,06/23/2022 06:00:00 PM,,K.I.M,116,
Bronx,Williamsbridge Oval Recreation Center,07/13/2022 04:00:00 PM,Flag Football,S.S.E,6,
Queens,Astoria Heights Playground,07/30/2024 06:00:00 PM,,K.I.M,195,
Bronx,Lozada Playground,06/07/2022 06:00:00 PM,,K.I.M,0,Called Out
Queens,Grover Cleveland Playground,06/01/2023 06:00:00 PM,,K.I.M,50,
Manhattan,Happy Warrior Playground,07/19/2024 09:52:00 AM,,K.I.M,140,
